date,id,link,local,text,title
 08/02/18 às 21h18,ID: 32936119,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/superlotacao_fffvNhSGpMFdWnMK/, Pindamonhangaba - SP,"DATA 08/02/2018 ENTRE 19:00 E 20:00 LINHA 105  GUARULHOS JD. MOREIRA SAINDO DO TERMINAL PARADA INGLESA EM SAO PAULO.PREFIXO VEÍCULO 30.528VEÍCULO COM EXCESSO DE PASSAGEIROS, FISCAL E MOTORISTA DA EMPRESA DE ÔNIBUS VILA GALVÃO/INTERNORTE COAGINDO PASSAGEIROS A FORÇAR ENTRADA EM CARRO SOB PENA DE NÃO INICIAR VIAGEM, ALÉM DE ATRASAR O HORÁRIO DO VEÍCULO.NO PONTO LOCALIZADO NA RUA BENJAMIN PEREIRA (EM FRENTE A EMEI PROFa. OTILIA DE JESUS PIRES), MOTORISTA PAROU O VEÍCULO FORA DO PONTO DE PARADA, ABRIU AS PORTAS TRASEIRAS (CENTRAL E FUNDOS) PARA QUE PASSAGEIROS EMBARCASSEM, SEM QUE ESTES TIVESSEM COMO PASSAR PELA CATRACA, ALÉM DE FAZER COM QUE ESSAS PESSOAS FICASSEM ENCOSTADAS NAS PORTAS SOB O RISCO DE QUEDA EM CASO DE ABERTURA DAS PORTAS.NA ETIQUETA DE CAPACIDADE REGULAMENTADA DO VEÍCULO CONSTA 40 PASSAGEIROS EM PÉ E APROXIMADAMENTE 40 SENTADOS.INFORMO AOS SENHORES QUE CASO EU PRESENCIE CASOS SEMELHANTES, AFINAL EU USO A LINHA TODOS OS DIAS, IREI ACIONAR A POLÍCIA MILITAR, QUE INCLUSIVE MANTÉM UM POSTO ITINERANTE NO TERMINAL PARADA INGLESA. TRAFEGAR COM VEÍCULO ACIMA DA CAPACIDADE REGULAMENTADA É INFRAÇÃO DE TRÂNSITO.",SUPERLOTAÇÃO
 08/02/18 às 17h12,ID: 32929939,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/meu-passe-livre-consta-como-sem-saldo_zZSmX3rx-MQres42/, Guarulhos - SP,"RECADASTREI MEU PASSE LIVRE NO DIA 06/02/18 E FOI REVALIDADO, QUANDO TENTEI UTILIZA-LO NO ONIBUS O CARTAO CONSTA COMO SEM SALDO, POREM E IMPOSSIVEL RECARREGAR POIS O BENEFICIO E DE GRATUIDADE, TENTO CONTATO COM OS CANAIS DE OUVIDORIA DA EMPRESA POREM NUNCA TEM UMA SOLUÇÃO, ESTOU SENDO PREJUDICADO POIS TODOS OS DIAS PRECISO PAGAR A PASSAGEM EM DINHEIRO.",MEU PASSE LIVRE CONSTA COMO SEM SALDO
 08/02/18 às 14h42,ID: 32924791,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/recarga-bilhete-bom_lyVF6qIbkpBCrfrd/, Augusto Severo - RN,"mais de meia hora no telefone e não fui atendido, um absurdo! ESTOU COM DUAS RECARGAS PENDENTES E ATÉ AGORA NADA! UM ABSURDO!QUANDO VOU RECARREGAR MEU BILHETE APARECE O SEGUINTE ERRO:10015, E NÃO RECARREGA. FALTA DE RESPEITO, ESSA CONDUÇÃO NÃO É DE GRAÇA EU PAGO POR ELA, É DESCONTADO EM FOLHA TODO MÊS! EXIJO QUE LIBEREM MINHA RECARGA E CUMPRAM SEU DEVER.",Recarga bilhete bom
 08/02/18 às 14h39,ID: 32924679,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/solicitacao-de-segunda-via_GOBRaZzMC8_kJir_/, Ferraz de Vasconcelos - SP,"Meu nome é Barbara Stefani Pires de Souza Melo. Solicitei segunda via do meu bilhete bom a 3 semanas e vejo o status no site com status de em impressão, sendo que fui informada que o prazo seria de 4 dias úteis. Faço tentativas de contato mas as filas de atendimento, tanto fone quanto chat são imensas. Preciso de um posicionamento.",Solicitação de segunda via
 08/02/18 às 10h32,ID: 32915393,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/onibus-reservado_ufwemAZZ1rtjim7Z/, Cajamar - SP,"Linha 468 - Cotia, das 08:00 ás 09:00 da manhã os ônibus vem todos reservados. No site da EMTU o horário deles é completamente enganoso, pois dentro desse horário não tem ônibus. uma falta de respeito com o trabalhador que tem horário para trabalhar e fica mais de uma hora no ponto esperando esses motorista que devem ir",Onibus reservado
 08/02/18 às 07h14,ID: 32910965,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/concluir-cadastro_MXgintuGDGLi2zJF/, São Paulo - SP,"Estou tentando me cadastrar na EMTU para ter o cartão bom do professor, mas não consigo, pois me pedem um número de cartão e eu não tenho.já tentei contato telefônico,  mas não consigo.Estou tendo prejuízos, pois tenho que dar em dinheiro a passagem.Gostaria de ajuda para concluir o meu cadastro para não perder o benefício",Concluir cadastro
 07/02/18 às 20h15,ID: 32904633,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/demora-na-execucao-e-querem-que-voce-justifique-quem-paga-a-sua-faculdade_ybJxgoicxA5oPK_a/, Osasco - SP,"boa noite eu sou usuaria do passe livre estudantil a 2 anos e esse ano devido eu estar desempregada eles querem que eu explique para eles como pago a faculdade, se para ter o beneficio do passe livre é morar em municipio diferente de onde você estuda e ganhar até um salario minimo e meio,você tem o direito, que dirá eu que estou desempregada,pois bem enviei uma autodeclaração de baixa renda e como não sabia que eu teria que declarar quem paga a faculdade ,eu não fiz por que nos 2 anos anteriores não pediram isso. além do prazo que é bastante demorado o ano letivo se inicia e todo ano a emtu atrasa o beneficio do passe livre por que são até 15 dias uteis ou seja muito tempo ,e no meu caso o prazo começa a contar apartir de hoje de novo por que tive que mandar falando pra eles quem paga minha faculdade brincadeira viu ,pouca vergonha dessa empresa ,todo ano essa cachorada, não interessa quem paga a faculdade,o que interessa é que tenho direito por lei ao passe livre. quero só saber o que vocês vão inventar para atrasar ainda mais a liberação do beneficio?????",demora na execução e querem que você justifique quem paga a sua faculdade.
 07/02/18 às 18h10,ID: 32901323,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/onibus-lotados-e-intervalos-muito-grandes_K1HCclesxvw6ymlD/, Osasco - SP,A linha 466 Santa Maria  está um absurdo um total desrespeito com o passageiro o intervalo de um ônibus e outro está sendo de 50 minutos e fora a demora os ônibus estão vindo tão lotados a empresa está colocando a vida das pessoas em risco isso é um descaso total com o passageiro que PAGA pelo serviço espero que a empresa tome alguma providência urgentemente,Ônibus lotados e intervalos muito grandes
 07/02/18 às 14h18,ID: 32892829,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/linha-sem-fiscal_0yerCCGCyZzH602d/, Guarulhos - SP,"Mais uma vez estou aqui reclamando com a falta de consideração aos passageiros que usam a linha 552 saindo da Armenia/Parque Santos Dumnont. É um absurdo nao ter um fiscal nessa linha. Os onibus chegam e saem a hora que quer, nao para nos pontos algumas vezes. Por favor, façam alguma coisa, tenham consideração com o próximo.",LINHA SEM FISCAL
 07/02/18 às 12h09,ID: 32888113,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/validador-defeituoso-onibus-pessimos_y33wgamAZOMWMMYg/, Guarulhos - SP,"Ontem 06/02, ao pegar o onibus de retorno para minha casa 342-Jd. Cumbica, ao passar o cartão nesta catraca não consegui e acionei o CARTÃO BOM e me informaram que foi devido ao uso da catraca do onibus que queimou o chip do meu cartão.Infelizmente o estado os Ônibus da linha 342 - ARMÊNIA/JD. CUMBICA é deplorável, péssimo, todos os ônibus são antigos e com estado conservação ruim, e constantemente quebram no meio do caminho ou andam com defeito, exemplo onibus fazem barulho tipo apito ou com a seta defeituosa.Fora a super lotação!Espero que ajudem os passageiros, pois pagamos caro na passagem para um serviço de péssima qualidade.",Validador Defeituoso / Onibus Pessimos
